Date,nasdaq100_shares,nasdaq100_value,sp500_shares,sp500_value,csi930955_shares,csi930955_value,csi980092_shares,csi980092_value,cnb00003_shares,cnb00003_value,total_value,return,cumulative_invest,profit
2024-10-08,31.83430864663526,640117.2523351413,113.74263173517849,654148.6483219224,31.238520169180624,691679.8773487788,152.58043650259413,757831.0191253704,1514.3823409600898,253553.4896616501,2997330.286792863,199.7330286792863,998312.236286926,1999018.050505937
2024-10-09,31.83430864663526,645245.1252589966,113.74263173517849,658801.8771584948,31.238520169180624,640058.5351544096,152.58043650259413,700242.8901370694,1514.3823409600898,253612.24769647938,2897960.6754054497,189.79606754054495,998312.236286926,1899648.4391185236
2024-10-10,31.83430864663526,644382.4279299497,113.74263173517849,657438.0763455607,31.238520169180624,657519.306002973,152.58043650259413,722047.0464804686,1514.3823409600898,254106.08777786646,2935492.9445368187,193.54929445368185,998312.236286926,1937180.7082498926
2024-10-11,31.83430864663526,645344.1722388288,113.74263173517849,661416.7913821215,31.238520169180624,646664.5450145861,152.58043650259413,706149.5534788704,1514.3823409600898,254288.5708499521,2913863.632964359,191.38636329643592,998312.236286926,1915551.396677433
2024-10-14,31.83430864663526,650663.0510145641,113.74263173517849,666514.7716810645,31.238520169180624,663723.588493774,152.58043650259413,722437.2556887802,1514.3823409600898,254455.45578392595,2957794.122662109,195.77941226621087,998312.236286926,1959481.8863751828
2024-10-15,31.83430864663526,641774.2529707523,113.74263173517849,661442.9499658848,31.238520169180624,648329.2457544018,152.58043650259413,699502.8445039445,1514.3823409600898,254564.94562717734,2905614.2388221603,190.56142388221602,998312.236286926,1907302.0025352342
2024-10-16,31.83430864663526,642226.9592232057,113.74263173517849,664537.9380707218,31.238520169180624,658516.4395667732,152.58043650259413,702164.0304130734,1514.3823409600898,254518.45408930987,2921963.8213630845,192.19638213630844,998312.236286926,1923651.5850761584
2024-10-17,31.83430864663526,642748.0594981421,113.74263173517849,664424.1954389866,31.238520169180624,647275.2580838936,152.58043650259413,691340.996536504,1514.3823409600898,254702.30010550242,2900490.8096630285,190.04908096630285,998312.236286926,1902178.5733761024
2024-10-18,31.83430864663526,647001.7324618966,113.74263173517849,667062.9911722061,31.238520169180624,654513.5355922944,152.58043650259413,701428.8368378293,1514.3823409600898,254617.19181794047,2924624.2878821674,192.46242878821676,998312.236286926,1926312.0515952413
2024-10-21,31.83430864663526,648193.3428627028,113.74263173517849,665847.0891035644,31.238520169180624,649704.3654122491,152.58043650259413,700143.133047684,1514.3823409600898,254593.26457695328,2918481.1950031538,191.8481195003154,998312.236286926,1920168.9587162277
2024-10-22,31.83430864663526,649116.2269315348,113.74263173517849,665530.9090242342,31.238520169180624,654278.6219206222,152.58043650259413,708320.3916392111,1514.3823409600898,254385.3398815395,2931631.4893971416,193.16314893971418,998312.236286926,1933319.2531102155
2024-10-23,31.83430864663526,638817.8280843482,113.74263173517849,659413.7991880154,31.238520169180624,657265.6492191992,152.58043650259413,709882.0371487715,1514.3823409600898,254224.36103869544,2919603.6746790297,191.96036746790298,998312.236286926,1921291.4383921036
2024-10-24,31.83430864663526,644099.4010296381,113.74263173517849,660828.7508621936,31.238520169180624,653253.6860738713,152.58043650259413,706891.7810122373,1514.3823409600898,254212.70029467004,2919286.319272611,191.92863192726105,998312.236286926,1920974.0829856847
2024-10-25,31.83430864663526,647892.4713401616,113.74263173517849,660630.8675629395,31.238520169180624,655460.0627534207,152.58043650259413,707300.6050338023,1514.3823409600898,254255.25443845103,2925539.2611287753,192.55392611287752,998312.236286926,1927227.0248418492
2024-10-28,31.83430864663526,647862.2536175009,113.74263173517849,662382.4929839824,31.238520169180624,660204.256811514,152.58043650259413,718366.0739659308,1514.3823409600898,254240.11061504143,2943055.18799397,194.305518799397,998312.236286926,1944742.9517070437
2024-10-29,31.83430864663526,654215.7474242517,113.74263173517849,663451.6626146142,31.238520169180624,650030.4955628153,152.58043650259413,707384.6768543153,1514.3823409600898,254280.99893824733,2929363.581394244,192.93635813942439,998312.236286926,1931051.345107318
2024-10-30,31.83430864663526,649028.3095244521,113.74263173517849,661262.1169537121,31.238520169180624,646146.6103501811,152.58043650259413,702067.5995772039,1514.3823409600898,254283.57338822697,2912788.209793776,191.27882097937757,998312.236286926,1914475.9735068497
2024-10-31,31.83430864663526,633197.7669041515,113.74263173517849,648952.9204488319,31.238520169180624,647471.1236053543,152.58043650259413,700701.0891878866,1514.3823409600898,254416.23328129508,2884739.1334275194,188.47391334275193,998312.236286926,1886426.8971405933
2024-11-01,31.83430864663526,637741.1818176976,113.74263173517849,651608.7664691327,31.238520169180624,650538.7462859679,152.58043650259413,703223.9456732824,1514.3823409600898,254591.14444167598,2897703.7846877566,189.77037846877565,998312.236286926,1899391.5484008305
2024-11-04,31.83430864663526,635527.3916626909,113.74263173517849,649776.3882226294,31.238520169180624,657568.0380944369,152.58043650259413,707560.2511625987,1514.3823409600898,254662.6232881693,2905094.6924305256,190.50946924305254,998312.236286926,1906782.4561435995
2024-11-05,31.83430864663526,643927.2346221332,113.74263173517849,657746.3144344914,31.238520169180624,668727.6870396751,152.58043650259413,718309.5123981192,1514.3823409600898,254732.43631408754,2943443.184808506,194.3443184808506,998312.236286926,1945130.94852158
2024-11-06,31.83430864663526,661559.2757946361,113.74263173517849,674384.6177062142,31.238520169180624,667073.607396717,152.58043650259413,716928.4458351596,1514.3823409600898,254718.65543478483,2974664.602167512,197.46646021675116,998312.236286926,1976352.3658805857
2024-11-07,31.83430864663526,671753.9022568007,113.74263173517849,679396.1247250736,31.238520169180624,685414.9921288496,152.58043650259413,731428.1952320884,1514.3823409600898,254854.79840723713,3022848.012750049,202.28480127500492,998312.236286926,2024535.776463123
2024-11-08,31.83430864663526,672250.8159183317,113.74263173517849,681948.5027166036,31.238520169180624,675821.0178144908,152.58043650259413,725022.3192181382,1514.3823409600898,254888.8720099087,3009931.527677473,200.99315276774732,998312.236286926,2011619.291390547
2024-11-11,31.83430864663526,671913.6955638746,113.74263173517849,682609.3540715923,31.238520169180624,672158.613709856,152.58043650259413,723176.4926455916,1514.3823409600898,255010.02259718554,3004868.1785881,200.48681785880999,998312.236286926,2006555.9423011737
2024-11-12,31.83430864663526,670774.0024437715,113.74263173517849,680634.79753542,31.238520169180624,668422.4866976221,152.58043650259413,716145.3420028538,1514.3823409600898,255191.89991633486,2991168.5285960026,199.11685285960027,998312.236286926,1992856.2923090765
2024-11-13,31.83430864663526,669671.6151541135,113.74263173517849,680792.859805888,31.238520169180624,671000.289381983,152.58043650259413,721471.680912461,1514.3823409600898,255128.44729624863,2998064.8925506943,199.8064892550694,998312.236286926,1999752.6562637682
2024-11-14,31.83430864663526,665231.0399798283,113.74263173517849,676674.2435538287,31.238520169180624,661962.0483414339,152.58043650259413,708595.677262749,1514.3823409600898,255183.72225169366,2967646.7313895337,196.76467313895336,998312.236286926,1969334.4951026076
2024-11-15,31.83430864663526,649233.0563572126,113.74263173517849,667739.7820463883,31.238520169180624,657690.4930935001,152.58043650259413,703482.1880620631,1514.3823409600898,255188.87115165291,2933334.390710817,193.33343907108173,998312.236286926,1935022.154423891
2024-11-18,31.83430864663526,653850.896402497,113.74263173517849,670355.8625762974,31.238520169180624,667249.7926504711,152.58043650259413,708512.6887633353,1514.3823409600898,255120.26963160743,2955089.510024208,195.50895100242082,998312.236286926,1956777.273737282
2024-11-19,31.83430864663526,658479.6173149946,113.74263173517849,673012.8749028806,31.238520169180624,668116.9739703675,152.58043650259413,709336.119605009,1514.3823409600898,255203.10634565793,2964148.6921389094,196.41486921389094,998312.236286926,1965836.4558519833
2024-11-20,31.83430864663526,657922.8277955988,113.74263173517849,673027.6481157916,31.238520169180624,669642.3509102287,152.58043650259413,712898.5066042969,1514.3823409600898,255203.25778389204,2968694.591209808,196.8694591209808,998312.236286926,1970382.3549228818
2024-11-21,31.83430864663526,660268.3697084615,113.74263173517849,676621.9263863021,31.238520169180624,669994.721417737,152.58043650259413,713438.5803173414,1514.3823409600898,255333.49466521462,2975657.092495057,197.5657092495057,998312.236286926,1977344.8562081307
2024-11-22,31.83430864663526,661396.9332558151,113.74263173517849,678968.4235497841,31.238520169180624,650853.942954475,152.58043650259413,692947.3786300471,1514.3823409600898,255340.7637004512,2939507.442090573,193.9507442090573,998312.236286926,1941195.2058036467
2024-11-25,31.83430864663526,662309.3095157384,113.74263173517849,681019.2343014703,31.238520169180624,652596.1152243101,152.58043650259413,691627.5120801686,1514.3823409600898,255522.03526666414,2943074.206388352,194.3074206388352,998312.236286926,1944761.970101426
2024-11-26,31.83430864663526,666066.0688179617,113.74263173517849,684916.0302062882,31.238520169180624,652407.1221772867,152.58043650259413,686703.5125235752,1514.3823409600898,255569.2839957021,2945662.017720814,194.56620177208137,998312.236286926,1947349.7814338878
2024-11-27,31.83430864663526,660386.5048382048,113.74263173517849,682312.5013535139,31.238520169180624,659000.3242441938,152.58043650259413,695389.0470651798,1514.3823409600898,255604.26622777828,2952692.643728871,195.2692643728871,998312.236286926,1954380.4074419448
